"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $205.88/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","PrivateNote"
"0x4e9baadac9ca3477e06761bf3a34dc50a016e4f07d273135eb9f98679e198421","7059507","1547388164","1/13/2019 2:02:44 PM","0x9526ec5e33862648530f71392020dfe2923270fd","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","2.5874","0","532.693912","0.00126","0.2594088","116.56","","",""
"0xff057ff196e0c76a3c80f93638e1dab44edd610ac21f814e71326bac276b25e8","7059507","1547388164","1/13/2019 2:02:44 PM","0x824410972e93c1ee87c0f1d8fdb92954a8603907","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","2.00275573","0","412.3273496924","0.00126","0.2594088","116.56","","",""
"0x4396c0124f2bc4591511f5990a242999bfa71c9b306c72c7d0c05ce4510cd063","7059510","1547388226","1/13/2019 2:03:46 PM","0x080740663932dd606e017ab7f838f02418ad74ae","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","1.82826931","0","376.4040855428","0.00126","0.2594088","116.56","","",""
"0xc94ee805dad2954b9cdeac099f3511e62108477c8796fada5edd94be5d4d63ee","7059514","1547388298","1/13/2019 2:04:58 PM","0xc02e2bdfe25013d1a3b8e229f625a436a455d7ca","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","1.4974","0","308.284712","0.00126","0.2594088","116.56","","",""
"0x590326b9f57d85853cb75252c80bbea27615c54c2de2ccef6b9f8c48092c70f4","7059515","1547388331","1/13/2019 2:05:31 PM","0xa44388f7e483a09cc22c132508cecce437efa594","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","1.49313475","0","307.40658233","0.00126","0.2594088","116.56","","",""
"0xf2be9c849fe57ba563c714ea9da637df3b1d0773907d96d6f2be57fc3a21dffd","7059515","1547388331","1/13/2019 2:05:31 PM","0x57be2dd37bb46c01e491f7e368461d5cf8086740","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","1.1874","0","244.461912","0.00126","0.2594088","116.56","","",""
"0xb5fd81ad40d76cffb71f1a3367343fadea97e9a8dceb97dcc134040fef7b0b47","7059515","1547388331","1/13/2019 2:05:31 PM","0xc80c76e7289241dfcb67c3aa7289803dc7d06825","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","1.185901674388903827","0","244.153436723188","0.00126","0.2594088","116.56","","",""
"0x2fb915a2f3dac2696f53ca5dc85af47def2bceb84b78bea7e99b8b91b196526b","7059521","1547388458","1/13/2019 2:07:38 PM","0x8141761fb99b4bbd07e82f0f1acb23cbfbce2df8","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","1.128043000000000128","0","232.24149284","0.00126","0.2594088","116.56","","",""
"0xe33ad37e05c44167167ded2b2fad0cf8eac37684b55799ac4f3f6dde006221f8","7059521","1547388458","1/13/2019 2:07:38 PM","0x8f0eda00a31c8941a7b2b6b4527ca1ee9b49948a","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","1.0736184","0","221.036556192","0.00126","0.2594088","116.56","","",""
"0x3403104e8125aa530fe5ab58b61b9c0718ffd69b23701f610e69a87178bb78c7","7059522","1547388460","1/13/2019 2:07:40 PM","0xaabff4d94cc657aa86c40ca47f271f8ac1c7983a","0xc8b759860149542a98a3eb57c14aadf59d6d89b9","","0.9874","0","203.285912","0.00126","0.2594088","116.56","","",""
